time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:48:31,0,164.0,58.0,3,27,0.0,0.0
16:48:33,0,164.0,58.0,8,27,0.0,0.3
16:48:35,0,164.0,58.0,3,27,0.0,0.1
16:48:37,0,164.0,58.0,2,27,0.0,0.1
16:48:39,0,164.0,58.0,3,27,0.0,0.0
16:48:41,0,164.0,58.0,3,27,0.0,0.1
16:48:43,0,164.0,58.0,5,27,0.0,0.1
16:48:45,0,164.0,57.0,2,27,0.0,0.3
16:48:47,0,164.0,57.0,4,27,0.0,0.1
16:48:49,0,164.0,57.0,2,27,0.0,0.0
16:48:51,0,164.0,57.0,3,27,0.0,0.0
16:48:53,0,164.0,57.0,2,27,0.0,0.1
16:48:55,0,164.0,57.0,4,27,0.0,0.0
16:48:58,0,164.0,57.0,2,27,0.0,0.1
16:49:00,0,164.0,57.0,4,27,0.0,0.0
16:49:02,0,164.0,57.0,3,27,0.0,0.0
16:49:04,0,164.0,57.0,3,27,0.0,0.1
16:49:06,0,164.0,57.0,5,27,0.0,0.1
16:49:08,0,164.0,57.0,4,27,0.0,0.1
16:49:10,0,164.0,56.0,2,27,0.0,0.1
16:49:12,0,164.0,56.0,2,27,0.0,0.0
16:49:14,0,164.0,56.0,5,27,0.0,0.2
16:49:16,0,164.0,56.0,2,27,0.0,0.3
16:49:18,0,164.0,56.0,2,27,0.0,0.1
16:49:20,0,164.0,56.0,2,27,0.0,0.0
16:49:22,0,164.0,56.0,3,27,0.0,0.1
16:49:24,0,164.0,56.0,4,27,0.0,0.0
16:49:26,0,164.0,56.0,4,27,0.0,0.4
16:49:28,0,164.0,56.0,3,27,0.0,0.1
16:49:30,0,164.0,56.0,3,27,0.0,0.4
16:49:32,0,164.0,56.0,2,27,0.0,0.1
16:49:34,0,164.0,56.0,1,27,0.0,0.0
16:49:37,0,164.0,56.0,3,27,0.0,0.1
16:49:39,0,164.0,56.0,6,27,0.0,0.1
16:49:41,0,164.0,56.0,5,27,0.0,0.0
16:49:43,0,164.0,55.0,4,27,0.0,0.1
16:49:45,0,164.0,55.0,3,27,0.0,0.1
16:49:47,0,164.0,56.0,20,28,0.0,0.4
16:49:49,0,164.0,56.0,15,28,0.0,0.1
16:49:51,0,164.0,56.0,10,27,0.0,0.0
16:49:53,0,164.0,56.0,12,27,0.0,0.0
16:49:55,0,164.0,56.0,10,27,0.0,0.0
16:49:57,0,164.0,56.0,14,27,0.0,0.0
16:49:59,0,164.0,56.0,13,27,0.0,0.2
16:50:01,0,164.0,56.0,13,27,0.0,0.1
16:50:03,0,164.0,56.0,12,27,0.0,0.1
16:50:05,0,164.0,56.0,11,27,0.0,0.0
16:50:07,0,164.0,56.0,13,27,0.0,0.1
16:50:09,0,164.0,56.0,16,27,0.0,0.0
16:50:11,0,164.0,57.0,13,27,0.0,0.0
16:50:14,0,164.0,56.0,15,27,0.0,0.0
16:50:16,0,164.0,56.0,12,27,0.0,0.2
16:50:18,0,164.0,57.0,14,27,0.0,0.1
16:50:20,0,164.0,57.0,14,27,0.0,0.0
16:50:22,0,164.0,57.0,14,27,0.0,0.0
16:50:24,0,164.0,57.0,13,27,0.0,0.1
16:50:26,0,164.0,57.0,14,27,0.0,0.3
16:50:28,0,164.0,57.0,10,27,0.0,0.1
16:50:30,0,164.0,57.0,11,27,0.0,0.0
16:50:32,0,164.0,57.0,10,27,0.0,0.0
16:50:34,0,164.0,57.0,12,27,0.0,0.1
16:50:36,0,164.0,57.0,15,27,0.0,0.1
16:50:38,0,164.0,57.0,15,27,0.0,0.1
16:50:40,0,164.0,57.0,13,27,0.0,0.1
16:50:42,0,164.0,57.0,9,27,0.0,0.0
16:50:44,0,164.0,57.0,12,27,0.0,0.1
16:50:46,0,164.0,57.0,12,27,0.0,0.1
16:50:48,0,164.0,57.0,15,27,0.0,2.3
16:50:51,0,164.0,57.0,15,27,0.0,0.0
16:50:53,0,164.0,57.0,15,27,0.4,0.3
16:50:55,0,164.0,57.0,13,28,0.0,0.0
16:50:57,0,164.0,57.0,13,27,0.1,0.5
16:50:59,0,164.0,58.0,31,28,0.2,0.3
16:51:01,0,164.0,58.0,24,28,0.0,0.2
16:51:03,0,164.0,58.0,18,28,0.0,0.3
16:51:05,0,164.0,58.0,27,28,0.0,0.1
16:51:07,0,164.0,58.0,16,28,0.0,0.1
16:51:09,0,164.0,58.0,12,28,0.0,0.6
16:51:11,0,164.0,59.0,14,28,0.0,0.0
16:51:13,0,164.0,59.0,13,28,0.0,0.1
16:51:15,0,164.0,58.0,14,28,0.0,0.0
16:51:17,0,164.0,59.0,15,28,0.0,0.1
16:51:19,0,164.0,59.0,12,28,0.0,0.1
16:51:21,0,164.0,59.0,10,28,0.0,0.0
16:51:23,0,164.0,58.0,14,28,0.0,0.2
16:51:25,0,164.0,59.0,13,28,0.0,0.5
16:51:27,0,164.0,59.0,14,28,0.0,0.2
16:51:30,0,164.0,59.0,13,28,0.0,0.1
16:51:32,0,164.0,59.0,14,28,0.0,0.1
16:51:34,0,164.0,59.0,14,28,0.6,10.9
16:51:36,0,164.0,59.0,15,27,0.0,0.1
16:51:38,0,164.0,59.0,14,27,0.0,0.3
